timestamp,dataset,model,custom_cv_mean_accuracy,custom_cv_mean_f1_score,custom_cv_std_accuracy,custom_cv_std_f1_score,custom_cv_training_time,sklearn_cv_mean_accuracy,sklearn_cv_mean_f1_score,sklearn_cv_std_accuracy,sklearn_cv_std_f1_score,sklearn_cv_training_time
2025-05-17 01:49:05,mean_standard,SVCModel,0.833238391818813,0.7416077633394427,0.0112436035739046,0.0223866382194434,0.8898735046386719,0.8303206997084548,0.7385614035087719,0.0135998878013884,0.0195112680187561,0.9378204345703124
2025-05-17 01:49:36,mean_standard,CatBoostModel,0.94984367063839,0.9278246805549136,0.0068365143827037,0.0089184123514368,1.508540153503418,0.9510204081632654,0.9295137379372352,0.0092929314580228,0.0141335809716289,1.1469640731811523
2025-05-17 01:50:33,mean_standard,XGBoostModel,0.944007622283045,0.919318668200658,0.0092147020385828,0.0132639140747019,0.5155446529388428,0.9463556851311952,0.9231520235583396,0.0145889166218038,0.0217129768135602,0.5007984638214111
2025-05-17 01:50:52,mean_standard,RandomForestModel,0.9201229025736308,0.8777466510970271,0.0145506430252989,0.0262189581745059,1.1556501388549805,0.9300291545189504,0.8951135031317163,0.0115151123371029,0.0181764832492917,1.0847985744476318
2025-05-17 01:53:29,mean_standard,LogisticRegressionModel,0.8338299771735936,0.7561823194331116,0.0140287461408209,0.0190708011481085,0.0247395038604736,0.8349854227405249,0.7601649277549336,0.0154930965079724,0.0246834646486914,0.0219712257385253
2025-05-17 01:53:32,mean_standard,GaussianNBModel,0.7947456245422924,0.7063441299401265,0.0316412291771132,0.0389795020878499,0.0070016384124755,0.793002915451895,0.7031386725991843,0.0168995647185882,0.0198887075759591,0.0060009956359863
2025-05-17 01:53:33,mean_standard,QuadraticDiscriminantAnalysisModel,0.7900911410784516,0.7032511407873512,0.0101659762253019,0.0161323310749256,0.0220017433166503,0.7935860058309038,0.7075430851748276,0.0166359680672735,0.0266067789676181,0.0215072631835937
2025-05-17 01:53:40,mean_standard,VotingModel,0.8215917998603534,0.743951635168367,0.0178855489637843,0.0222347351143704,5.186677932739258,0.8221574344023322,0.7447141599863334,0.0132965064151503,0.0186864710274628,0.0714375972747802
2025-05-17 01:53:45,mean_standard,StackingModel,0.8373319392453606,0.7639780794185449,0.013779133568629,0.015742018484331,0.9586195945739746,0.8373177842565598,0.7630689554606345,0.0152497922222997,0.0280730905193621,0.9591519832611084
2025-05-17 01:54:03,median_standard,SVCModel,0.833238391818813,0.7416077633394427,0.0112436035739046,0.0223866382194434,0.8854048252105713,0.829737609329446,0.7373727730178158,0.0138721600622394,0.0206199769065041,1.1140754222869873
2025-05-17 01:54:26,median_standard,CatBoostModel,0.95218625189774,0.9312632829508432,0.0043655174142548,0.0055993789263445,1.2500557899475098,0.949854227405248,0.927669179088976,0.0106563655291528,0.0161739389943364,1.4155631065368652
2025-05-17 01:55:28,median_standard,XGBoostModel,0.9451789079564914,0.9211735743159049,0.0086026985793567,0.0120774722719479,0.4636275768280029,0.945189504373178,0.9215707746872386,0.0142111458973223,0.0207962657032941,0.497725248336792
2025-05-17 01:55:43,median_standard,RandomForestModel,0.9207008979496678,0.8788797239017005,0.0120007098227193,0.0224377212914137,1.2296767234802246,0.9294460641399418,0.8937331167649468,0.0138476292560209,0.0218002817432939,1.1051089763641355
2025-05-17 01:58:12,median_standard,LogisticRegressionModel,0.8338299771735936,0.7561823194331116,0.0140287461408209,0.0190708011481085,0.0239324569702148,0.8349854227405249,0.7601649277549336,0.0154930965079724,0.0246834646486914,0.0216126441955566
2025-05-17 01:58:14,median_standard,GaussianNBModel,0.7941642291934551,0.7058135718338109,0.0324738242593109,0.0398248092457336,0.0060186386108398,0.793002915451895,0.7031386725991843,0.0168995647185882,0.0198887075759591,0.0059988498687744
2025-05-17 01:58:16,median_standard,QuadraticDiscriminantAnalysisModel,0.7906929164391758,0.7068957224593587,0.0132517012182149,0.0161207074849981,0.0249989032745361,0.7900874635568513,0.7044371853436181,0.0236133606196112,0.0358124279987437,0.0230188369750976
2025-05-17 01:58:18,median_standard,VotingModel,0.8233291958737217,0.745724095109294,0.0132574146273401,0.01327688827029,0.0667569637298584,0.8134110787172013,0.731890501053919,0.0189840473423903,0.0274711266376688,0.0680606365203857
2025-05-17 01:58:23,median_standard,StackingModel,0.833824882170622,0.7579541537362272,0.0111081126987135,0.0111788477418994,1.020751953125,0.8367346938775511,0.762110941089623,0.0150929202397023,0.0273041655449095,0.8968710899353027
2025-05-17 01:58:40,impute_standard,SVCModel,0.8344045824892877,0.7430532632466317,0.0106163811077586,0.0208567835247774,0.8434386253356934,0.8309037900874635,0.738648486027065,0.016180101370859,0.0247684717866191,0.8955948352813721
2025-05-17 01:59:03,impute_standard,CatBoostModel,0.953350747538043,0.932821949319636,0.0032286112418998,0.0035738842878999,1.3013253211975098,0.9539358600583092,0.9335882026915474,0.0112764312570342,0.0170114405446883,1.4184763431549072
2025-05-17 02:00:05,impute_standard,XGBoostModel,0.9480858747882204,0.9250914019013312,0.0121027084365576,0.0177534252278614,0.4640760421752929,0.9492711370262392,0.9273029727272456,0.0138721600622394,0.0205095913023138,0.4675588607788086
2025-05-17 02:00:22,impute_standard,RandomForestModel,0.930618598782988,0.8956110109577248,0.0112456159287851,0.0201524445924481,1.223388910293579,0.926530612244898,0.8894452732201593,0.0138476292560209,0.0218877852932236,1.1277995109558103
2025-05-17 02:02:52,impute_standard,LogisticRegressionModel,0.8355707632473051,0.7590365716085674,0.0114132614668893,0.0136337930531748,0.0239779949188232,0.8355685131195336,0.7608331561838131,0.0167581432806996,0.0261945882787353,0.0210063457489013
2025-05-17 02:02:55,impute_standard,GaussianNBModel,0.7959118152127669,0.7084490147652551,0.0307966144466682,0.0377201131452768,0.0070002079010009,0.793002915451895,0.7031386725991843,0.0168995647185882,0.0198887075759591,0.0050160884857177
2025-05-17 02:02:56,impute_standard,QuadraticDiscriminantAnalysisModel,0.7848466780778873,0.6975951844346814,0.0081261964016128,0.0101437123649838,0.0219807624816894,0.7965014577259476,0.7120575179253306,0.0226881358114795,0.0331517522222674,0.0220272541046142
2025-05-17 02:02:57,impute_standard,VotingModel,0.8227494955550559,0.7464052728234757,0.0158657709912554,0.0183382871933866,0.065824270248413,0.8204081632653061,0.742481493278547,0.020499586975215,0.0325135168285997,0.0681765079498291
2025-05-17 02:03:03,impute_standard,StackingModel,0.8425815071613538,0.7716145976553321,0.008921329921758,0.0103073600398658,1.06009840965271,0.8367346938775511,0.7638820840724485,0.0155369243084247,0.0263690972532927,1.0147771835327148
2025-05-17 02:03:19,mean_minmax,SVCModel,0.8262446675936796,0.7401956578399471,0.0063705036408262,0.0084699654370917,0.8133482933044434,0.8309037900874635,0.7492693631415033,0.0220497614008035,0.0367964042703449,0.8748772144317627
2025-05-17 02:03:36,mean_minmax,CatBoostModel,0.94984367063839,0.9278246805549136,0.0068365143827037,0.0089184123514368,1.610487461090088,0.9510204081632654,0.9295137379372352,0.0092929314580228,0.0141335809716289,1.1309301853179932
2025-05-17 02:04:38,mean_minmax,XGBoostModel,0.944007622283045,0.919318668200658,0.0092147020385828,0.0132639140747019,0.469757080078125,0.9463556851311952,0.9231520235583396,0.0145889166218038,0.0217129768135602,0.4718804359436035
2025-05-17 02:04:56,mean_minmax,RandomForestModel,0.919539812194622,0.8766570948918716,0.0152357541564465,0.0276294674909682,1.3129937648773191,0.9300291545189504,0.8951135031317163,0.0115151123371029,0.0181764832492917,1.1729648113250732
2025-05-17 02:07:30,mean_minmax,LogisticRegressionModel,0.8291550145732944,0.7478157033965906,0.0144564264469977,0.0171892222462722,0.0239992141723632,0.8326530612244898,0.7547531387050175,0.0138721600622394,0.0220487195641068,0.0199973583221435
2025-05-17 02:07:32,mean_minmax,GaussianNBModel,0.7947456245422924,0.7063441299401265,0.0316412291771132,0.0389795020878499,0.0069992542266845,0.793002915451895,0.7031386725991843,0.0168995647185882,0.0198887075759591,0.0050158500671386
2025-05-17 02:07:33,mean_minmax,QuadraticDiscriminantAnalysisModel,0.7918591071096504,0.7059768996817501,0.0205170672329583,0.0271610302533583,0.0235059261322021,0.7860058309037902,0.6904285761632127,0.0156024351723144,0.0340927965866929,0.0559995174407959
2025-05-17 02:07:34,mean_minmax,VotingModel,0.8227443906396271,0.7446691737694564,0.0170539457594158,0.0209003744350735,0.0658755302429199,0.8186588921282798,0.7369594831215333,0.0149116173207515,0.0217063707932491,0.0702021121978759
2025-05-17 02:07:40,mean_minmax,StackingModel,0.8332417719666989,0.75943775349242,0.0138912502500404,0.0158603216458999,0.8632042407989502,0.8361516034985422,0.7661658493792687,0.0175315409660325,0.0302618677945084,0.8749146461486816
2025-05-17 02:07:55,median_minmax,SVCModel,0.8262446675936796,0.7401956578399471,0.0063705036408262,0.0084699654370917,0.812751293182373,0.8309037900874635,0.7492693631415033,0.0220497614008035,0.0367964042703449,0.873237133026123
2025-05-17 02:08:12,median_minmax,CatBoostModel,0.95218625189774,0.9312632829508432,0.0043655174142548,0.0055993789263445,1.6120176315307615,0.949854227405248,0.927669179088976,0.0106563655291528,0.0161739389943364,1.1633977890014648
2025-05-17 02:09:12,median_minmax,XGBoostModel,0.9451789079564914,0.9211735743159049,0.0086026985793567,0.0120774722719479,0.5270142555236816,0.945189504373178,0.9215707746872386,0.0142111458973223,0.0207962657032941,0.4840538501739502
2025-05-17 02:09:29,median_minmax,RandomForestModel,0.9212839883286764,0.8799590973385835,0.0112096365694031,0.0208596692492243,1.2268002033233645,0.9294460641399418,0.8937331167649468,0.0138476292560209,0.0218002817432939,1.222977638244629
2025-05-17 02:12:04,median_minmax,LogisticRegressionModel,0.8291550145732944,0.7478157033965906,0.0144564264469977,0.0171892222462722,0.0223698616027832,0.8326530612244898,0.7547531387050175,0.0138721600622394,0.0220487195641068,0.0210175514221191
2025-05-17 02:12:06,median_minmax,GaussianNBModel,0.7941642291934551,0.7058135718338109,0.0324738242593109,0.0398248092457336,0.0110082626342773,0.793002915451895,0.7031386725991843,0.0168995647185882,0.0198887075759591,0.009000539779663
2025-05-17 02:12:07,median_minmax,QuadraticDiscriminantAnalysisModel,0.7848500681382304,0.6967546414520667,0.017678137021187,0.0233735227310125,0.0275130271911621,0.7865889212827988,0.7012031589175379,0.0199788241387893,0.028475845056915,0.027001142501831
2025-05-17 02:12:08,median_minmax,VotingModel,0.8192560185466039,0.7400957052411777,0.0218784809550008,0.0287476359268702,0.0694692134857177,0.81399416909621,0.7334164655114273,0.0178200662273307,0.0242273880759365,0.069878339767456
2025-05-17 02:12:12,median_minmax,StackingModel,0.8320840960969106,0.7582808865172408,0.0119539102354063,0.0145025467406107,0.8496057987213135,0.8367346938775511,0.7670454933334442,0.0219725290745384,0.0339024016321358,0.8264448642730713
2025-05-17 02:12:28,impute_minmax,SVCModel,0.8268311678579459,0.7411918723844959,0.0057103669533011,0.0108846096510921,0.807166337966919,0.8326530612244898,0.7521185906041064,0.0209101120431966,0.034839849939746,0.8683960437774658
2025-05-17 02:12:42,impute_minmax,CatBoostModel,0.953350747538043,0.932821949319636,0.0032286112418998,0.0035738842878999,1.1596214771270752,0.9539358600583092,0.9335882026915474,0.0112764312570342,0.0170114405446883,1.143500804901123
2025-05-17 02:13:43,impute_minmax,XGBoostModel,0.9480858747882204,0.9250914019013312,0.0121027084365576,0.0177534252278614,0.4576406478881836,0.9492711370262392,0.9273029727272456,0.0138721600622394,0.0205095913023138,0.453258752822876
2025-05-17 02:14:01,impute_minmax,RandomForestModel,0.9300372034341512,0.8946712447893068,0.0108684970324323,0.0195665810638769,1.193307399749756,0.9271137026239068,0.8904532097280958,0.0132965064151503,0.020881096387733,1.1252694129943848
2025-05-17 02:16:34,impute_minmax,LogisticRegressionModel,0.8309026005926062,0.7501489799829553,0.0134283646472112,0.0159111306383711,0.0218751430511474,0.8338192419825073,0.7560431143966424,0.0137984368118941,0.021987792387214,0.0200002193450927
2025-05-17 02:16:36,impute_minmax,GaussianNBModel,0.7959118152127669,0.7084490147652551,0.0307966144466682,0.0377201131452768,0.0100171566009521,0.793002915451895,0.7031386725991843,0.0168995647185882,0.0198887075759591,0.0089800357818603
2025-05-17 02:16:37,impute_minmax,QuadraticDiscriminantAnalysisModel,0.7848330583617721,0.7015022132382065,0.0134231452926357,0.0126460579620668,0.0199990272521972,0.7924198250728864,0.7047425197337585,0.030931282122157,0.0401494518225633,0.0207293033599853
2025-05-17 02:16:39,impute_minmax,VotingModel,0.8139996804223817,0.7326503051723774,0.0147992449330599,0.0170722202321386,0.069920539855957,0.8274052478134111,0.752465927951928,0.0139698525372722,0.0192334389680024,0.0699357986450195
2025-05-17 02:16:43,impute_minmax,StackingModel,0.8349927678712682,0.7617608470736015,0.011781811227766321,0.012230217020364746,0.8482697010040283,0.8361516034985422,0.765290103190811,0.01919775817277472,0.029683629114425267,0.8278100490570068
